Comment,Designator,Footprint,LCSC
100n,"C1,C13,C14,C15,C16,C17,C18,C19,C2,C20,C3",C_0603_1608Metric,C14663
1N5819,D1,D_SOD-323,C191023
taper 0R0,"R25,R26,R27,R28,R29,R30,R31,R32",R_0603_1608Metric,C21189
2k,"R10,R12,R14,R16,R2,R4,R6,R8",R_0603_1608Metric,C22975
22uf,C4,C_0805_2012Metric,C45783
MCP6004,"U2,U3",TSSOP-14_4.4x5mm_P0.65mm,C50282
100p,"C10,C11,C12,C5,C6,C7,C8,C9",C_Rect_L7.0mm_W2.5mm_P5.00mm,C5359302
74HC4051,U4,TSSOP-16_4.4x5mm_P0.65mm,C5645
Screw_Terminal_01x02,"J2,J3,J4,J5,J6,J7,J8,J9",CONN-TH_WJ126V-5.0-2P,C8404
100k,RV11,TRIM_3306F-1-104,
100k,RV5,TRIM_3306F-1-104,
5k DNP,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
~,U1,Round TFT 240x240,
100k,RV13,TRIM_3306F-1-104,
taper-dnp,R18,R_0603_1608Metric,
taper-dnp,R24,R_0603_1608Metric,
5k DNP,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100k,RV1,TRIM_3306F-1-104,
100k,RV12,TRIM_3306F-1-104,
ELI2040B 1,J1,PinSocket_1x35_P2.54mm_Vertical,
100k,RV8,TRIM_3306F-1-104,
5k DNP,R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
taper-dnp,R19,R_0603_1608Metric,
5k DNP,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Conn_02x03_Counter_Clockwise,J10,IDC-Header_2x04_P2.54mm_Vertical,
100k,RV9,TRIM_3306F-1-104,
100k,RV7,TRIM_3306F-1-104,
100k,RV3,TRIM_3306F-1-104,
100k,RV6,TRIM_3306F-1-104,
5k DNP,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
100k,RV10,TRIM_3306F-1-104,
100k,RV4,TRIM_3306F-1-104,
100k,RV16,TRIM_3306F-1-104,
taper-dnp,R20,R_0603_1608Metric,
100k,RV14,TRIM_3306F-1-104,
5k DNP,R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Conn_01x04,J12,PinHeader_1x04_P2.54mm_Vertical,
100k,RV15,TRIM_3306F-1-104,
taper-dnp,R21,R_0603_1608Metric,
5k DNP,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
Conn_02x16_Counter_Clockwise,J11,IDC-Header_2x08_P2.54mm_Vertical,
5k DNP,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
taper-dnp,R22,R_0603_1608Metric,
100k,RV2,TRIM_3306F-1-104,
taper-dnp,R17,R_0603_1608Metric,
taper-dnp,R23,R_0603_1608Metric,
