Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,167.005,-78.105,0.0,top
C10,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,156.21,-108.585,180.0,top
C11,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,175.26,-113.03,180.0,top
C12,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,175.26,-103.505,180.0,top
C13,100n,C_0603_1608Metric,229.87,-118.11,0.0,top
C14,100n,C_0603_1608Metric,229.87,-33.655,180.0,top
C15,100n,C_0603_1608Metric,229.87,-45.085,0.0,top
C16,100n,C_0603_1608Metric,229.87,-57.15,0.0,top
C17,100n,C_0603_1608Metric,229.87,-71.12,0.0,top
C18,100n,C_0603_1608Metric,229.87,-83.185,0.0,top
C19,100n,C_0603_1608Metric,229.87,-96.52,0.0,top
C2,100n,C_0603_1608Metric,166.8225,-104.14,0.0,top
C20,100n,C_0603_1608Metric,229.87,-109.22,0.0,top
C3,100n,C_0603_1608Metric,148.59,-83.185,0.0,top
C4,22uf,C_0805_2012Metric,153.67,-114.3,180.0,top
C5,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,157.52,-80.01,180.0,top
C6,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,157.52,-88.265,0.0,top
C7,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,175.3,-88.265,180.0,top
C8,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,175.3,-79.375,180.0,top
C9,100p,C_Rect_L7.0mm_W2.5mm_P5.00mm,156.21,-100.965,0.0,top
D1,1N5819,D_SOD-323,149.225,-114.3,0.0,top
J2,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-30.002996,180.0,top
J3,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.397,-42.200996,180.0,top
J4,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-55.402996,180.0,top
J5,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-68.698497,180.0,top
J6,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-81.993998,180.0,top
J7,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-95.328998,180.0,top
J8,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-108.663998,180.0,top
J9,Screw_Terminal_01x02,CONN-TH_WJ126V-5.0-2P,221.615,-121.959499,180.0,top
R10,2k,R_0603_1608Metric,196.66,-87.073998,0.0,top
R12,2k,R_0603_1608Metric,196.66,-101.043998,0.0,top
R14,2k,R_0603_1608Metric,196.66,-115.013998,0.0,top
R16,2k,R_0603_1608Metric,191.0,-125.0,-90.0,top
R2,2k,R_0603_1608Metric,196.85,-35.56,0.0,top
R25,taper 0R0,R_0603_1608Metric,203.0,-27.5,180.0,top
R26,taper 0R0,R_0603_1608Metric,203.5,-41.0,180.0,top
R27,taper 0R0,R_0603_1608Metric,203.0,-53.5,180.0,top
R28,taper 0R0,R_0603_1608Metric,203.5,-67.0,180.0,top
R29,taper 0R0,R_0603_1608Metric,203.075,-79.25,180.0,top
R30,taper 0R0,R_0603_1608Metric,203.25,-93.25,180.0,top
R31,taper 0R0,R_0603_1608Metric,202.675,-105.0,180.0,top
R32,taper 0R0,R_0603_1608Metric,203.0,-119.5,180.0,top
R4,2k,R_0603_1608Metric,196.66,-49.052996,0.0,top
R6,2k,R_0603_1608Metric,196.85,-60.482996,0.0,top
R8,2k,R_0603_1608Metric,197.04,-75.087996,0.0,top
U2,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,166.5625,-83.82,0.0,top
U3,MCP6004,TSSOP-14_4.4x5mm_P0.65mm,166.6825,-107.905,0.0,top
U4,74HC4051,TSSOP-16_4.4x5mm_P0.65mm,144.78,-86.995,0.0,top
